Condition,RID,Kapp,Rep
Acetate,31747,803.8408168885477,156
Acetate,23476,85.6043980999015,156
Acetate,23864,1035.4570013913976,156
Acetate,31139,92.02915138499324,156
Acetate,17737,47.03265414659017,156
Acetate,16825,199.30253826130084,156
Acetate,cyt_bd,0.4105464469725948,156
Acetate,H_ATPsynthase,3078.707162295886,156
Acetate,24793,1.693745899142276,156
Acetate,41852,54.30594694461553,156
Acetate,18133,0.2899684517926257,156
Acetate,19541,4.3100796603860205,156
Acetate,12605,29.94361429622692,156
Acetate,21020,34.62236950072335,156
Acetate,18253,453.71503447251155,156
Acetate,22192,2.79662087376242,156
Acetate,20013,156.67029962912548,156
Acetate,33023,0.8481060094134532,156
Acetate,15753,4.255223281525516,156
Acetate,11064,34.336113217411715,156
Acetate,41860,7.527914759130971,156
Acetate,29355,23.688120412771422,156
Acetate,glycogen_synthase,14.322848685332056,156
Acetate,cyt_bc1,2539.75164459442,156
Acetate,41920,957.9676453937291,156
Acetate,12080,12.314750760860921,156
Acetate,35331,295.31228204163557,156
Acetate,13869,130.5265488219649,156
Acetate,30187,22.88189919401229,156
Acetate,21540,0.7019613592811204,156
Acetate,22408,2.3333764058161552,156
Acetate,24296,90.05215842227761,156
Acetate,33803,107.11612943411768,156
Acetate,41856,277.99554009293536,156
Acetate,28438,1.0974751371719162,156
Acetate,28030,2292.8847879742148,156
Acetate,14329,120.7465234104543,156
Acetate,22608,94.43568865484282,156
Acetate,23288,3.593488845505391,156
Acetate,18405,4537.431091675975,156
Acetate,41832,413.17773524242386,156
Acetate,10532,0.31871310391085184,156
Acetate,41836,79.2955970114048,156
Acetate,10300,33.65678288550517,156
Acetate,41924,414.9353230588771,156
Acetate,11600,11.145012597269936,156
Acetate,41900,164.6746534464219,156
Acetate,28066,4.38533982637744,156
Acetate,38215,1258.288335029471,156
Acetate,24400,114.30511483083991,156
Acetate,21648,12.880874771861967,156
Acetate,41904,605.895446110722,156
Acetate,19597,157.36139004811625,156
Acetate,20049,36.82222588384805,156
Acetate,28038,463.8352294705314,156
Acetate,20956,6.864656881670703,156
Acetate,12104,142.73945267994756,156
Acetate,21732,0.7510784896288167,156
Acetate,13121,32.34953215511768,156
Acetate,30727,22.897094396444857,156
Acetate,14465,2.6973269282623904,156
Acetate,10892,176.76553646365912,156
Acetate,27658,200.7906130612179,156
Acetate,18585,4577.335033717424,156
Acetate,23744,0.6533671988693912,156
Acetate,14829,0.10000000000000007,156
Acetate,30791,27.769797482208833,156
Acetate,27826,14.075566948475162,156
Acetate,20345,5.487955367386795,156
Acetate,15609,204.31618701678048,156
Acetate,24152,14.894120017025665,156
Acetate,14657,161.6389092271607,156
Acetate,13245,19973.760390619045,156
Acetate,16853,7.142061702769212,156
Acetate,23424,5.473494948221226,156
Acetate,41828,146.52818453347396,156
Acetate,20780,86.51984151153296,156
Acetate,23536,1.8451097905627598,156
Acetate,10228,567.4132871841746,156
Acetate,20249,4.766155704857325,156
Acetate,28582,61.572196312610146,156
Acetate,16845,5536.096125028899,156
Acetate,19361,3.8265119064452002,156
Acetate,12120,11.744339602821851,156
Acetate,nqr,1455.5944676938304,156
Acetate,11596,425.5096875826638,156
Acetate,34171,1.1877275749519016,156
Acetate,22828,0.7325469775214369,156
Acetate,21968,17.32056952178705,156
Acetate,14905,42.35814363863401,156
Acetate,13677,568.9309557130733,156
Acetate,31227,6.29353403492507,156
Acetate,10116,1126.4597716905052,156
Acetate,24813,28.654594359598917,156
Acetate,rnf,50.0403864982458,156
Acetate,18793,64.94601954274589,156
Acetate,31755,10.020169754710185,156
Acetate,16169,173.7437630697753,156
Acetate,22332,1629.5377112084668,156
Acetate,10040,14.478070280328618,156
Acetate,76495,7.041418239363527,156
Acetate,18181,15958.913585884266,156
Acetate,17277,1110.3200269260287,156
Acetate,41824,528.3504154293562,156
Acetate,41876,441.03565585363197,156
Acetate,25237,484.96126383046845,156
Acetate,28026,77.72712948523962,156
Acetate,11040,99.87659029424486,156
Acetate,18301,16.713067721920584,156
Acetate,14729,21.3176498405222,156
Acetate,28062,187.86636531576892,156
Acetate,41916,90.78755031292992,156
Acetate,40523,130.96222152562166,156
Acetate,13493,4.40768584101792,156
Acetate,cyt_c,6104.342046801974,156
Acetate,24801,30.402391571896537,156
Acetate,12556,8.473517894869882,156
Acetate,14053,7.121525222770916,156
Acetate,22824,372.52084941006405,156
Acetate,41812,387.7248186598348,156
Acetate,11960,274.22823486431355,156
Acetate,25588,1401.603010814312,156
Acetate,33799,10.87253998813028,156
Acetate,27682,62.43488954885736,156
Acetate,24576,2797.2247524697823,156
Acetate,10152,1321.794839868154,156
Acetate,41880,1386.9878358141482,156
Acetate,13509,17.50257956346738,156
Acetate,64820,15.471518666204789,156
Acetate,18445,71.63075101208521,156
Acetate,11708,7.874768181243949,156
Acetate,24825,18.099852037091253,156
Acetate,21208,212.93622336283534,156
Acetate,34799,30.968013730363445,156
Acetate,13429,77.83785975693084,156
Acetate,18473,8.711699842906336,156
Acetate,23700,56.729802326391706,156
Acetate,27786,842.9699201947756,156
Acetate,15761,649.8594525328269,156
Acetate,12248,1.2010079813293961,156
Acetate,17053,28.16488710448364,156
Acetate,15093,1441.8579117698941,156
Acetate,14717,24.825754190820774,156
Acetate,23104,3.5016676942292073,156
