Reaction,Isozyme,Protein,Stoichiometry,KcatReverse,KcatForward
Na_ATPsynthase,A,PN96_RS13595,1,5.229393540218557,6.417839024215721
25237,A,PN96_RS10630,4,0.3049868223564569,1.5552250231612978
33023,A,PN96_RS05370,2,0.8066927356930067,0.2873700300528196
12172,A,PN96_RS16595,6,1.3389430158169835,0.823630750626333
23864,A,PN96_RS01120,3,0.014451262150940876,0.4414724573091849
13429,A,PN96_RS01115,2,0.051760496567043686,0.017943255120825657
31255,A,PN96_RS13345,4,0.17061062162476315,0.043342294743128465
41900,B,PN96_RS03565,2,0.046399476582693146,0.47163341070905745
27674,A,PN96_RS10630,4,0.19671257174496662,6.5317765979581255
22144,A,PN96_RS01460,1,0.11507343370558305,5.533247018711283
23448,A,PN96_RS08600,1,0.17001939439772787,0.6804802220674198
28066,A,PN96_RS12535,1,0.019621990774818514,1.218897073646685
19541,A,PN96_RS10265,2,0.12692909524494084,1.5877276874919835
22332,A,PN96_RS11765,1,2.2904565447689484,0.1867737160533263
22332,A,PN96_RS11770,1,2.2904565447689484,0.1867737160533263
10676,A,PN96_RS11765,1,0.5581898128574837,0.10512305486507213
10676,A,PN96_RS11770,1,0.5581898128574837,0.10512305486507213
12653,A,PN96_RS07395,4,0.45703602651339387,13.066910421201786
28094,A,PN96_RS11740,1,0.6049235751174968,1.0299738971354673
19361,A,PN96_RS10215,1,0.3693659845334751,0.12948321003825197
24292,B,PN96_RS15020,1,2.25190584786713,0.5135232835036881
24292,A,PN96_RS02050,6,0.22995055313857207,4.812345115897673
10380,A,PN96_RS12630,2,1.0225234775130263,0.05693678265957668
14329,A,PN96_RS07445,2,1.419603540522085,0.7071587962256403
42424,A,PN96_RS11765,1,0.09940492107855531,0.6114529329850376
42424,A,PN96_RS11770,1,0.09940492107855531,0.6114529329850376
26119,A,PN96_RS10615,1,0.2565121322094462,2.4696209471108665
11816,A,PN96_RS15130,2,15.504362877082535,72.4962403152887
12080,B,PN96_RS20655,1,0.24623958612850533,0.04132419297623037
12080,A,PN96_RS03545,1,0.32566726849126415,0.21267646811957608
